PART	SOURCE	REF	TEXT
APS	Exam DOCX	line 138	53. What is a key characteristic of the APS Series?
APS	Exam DOCX	line 140	54. What is one distinction identified between the BPS and APS families?
APS	Exam DOCX	line 267	The deck identifies the APS as having the same wiring/internal characteristics as the BPS while providing more available room for amplifiers and modules.
APS	Slidedeck PPTX	line 38	[slide132] APS Series power supplies are designed to extend the signaling capacity of emergency communication, life safety, and fire alarm systems. They can also be used to power additional devices, such as amplifiers, releasing modules, etc. The APS Series power supply has four outputs that are field-configurable as notification appliance circuits (NACs) or as auxiliary (AUX) power circuits, and a trouble relay. The NACs are supervised and can either pass or generate Genesis synchronization signals for synchronized notification appliances.  | APS6A available, less power | Same wiring and internals as BPS, more available room for amplifiers and modules | aps10a | NAC
APS	Slidedeck PPTX	line 38	[slide132] APS Series power supplies are designed to extend the signaling capacity of emergency communication, life safety, and fire alarm systems. They can also be used to power additional devices, such as amplifiers, releasing modules, etc. The APS Series power supply has four outputs that are field-configurable as notification appliance circuits (NACs) or as auxiliary (AUX) power circuits, and a trouble relay. The NACs are supervised and can either pass or generate Genesis synchronization signals for synchronized notification appliances.  | APS6A available, less power | Same wiring and internals as BPS, more available room for amplifiers and modules | aps10a | NAC
BPS	Exam DOCX	line 134	51. What is the primary purpose of the BPS Series?
BPS	Exam DOCX	line 136	52. How many independent NAC/AUX circuits does the BPS have?
BPS	Exam DOCX	line 140	54. What is one distinction identified between the BPS and APS families?
BPS	Exam DOCX	line 267	The deck identifies the APS as having the same wiring/internal characteristics as the BPS while providing more available room for amplifiers and modules.
BPS	Slidedeck PPTX	line 25	[slide120] BPS Series power supplies are designed to extend the power capacity of emergency communication, life safety and fire alarm systems. You can activate the BPS from option modules or from a control circuit. It has four independent NAC/AUX circuits that are supervised, when configured for NAC operation. It is also equipped with a fault relay that you can configure for common trouble (with immediate AC failure indication), or as an AC mains failure indication relay (with delayed output). The BPSâ€™s sense input #1 also provides a common fault indicator by opening the output side of the sense circuit.  | BPS6A available, less power | BPS10a | NAC
BPS	Slidedeck PPTX	line 25	[slide120] BPS Series power supplies are designed to extend the power capacity of emergency communication, life safety and fire alarm systems. You can activate the BPS from option modules or from a control circuit. It has four independent NAC/AUX circuits that are supervised, when configured for NAC operation. It is also equipped with a fault relay that you can configure for common trouble (with immediate AC failure indication), or as an AC mains failure indication relay (with delayed output). The BPSâ€™s sense input #1 also provides a common fault indicator by opening the output side of the sense circuit.  | BPS6A available, less power | BPS10a | NAC
BPS	Slidedeck PPTX	line 38	[slide132] APS Series power supplies are designed to extend the signaling capacity of emergency communication, life safety, and fire alarm systems. They can also be used to power additional devices, such as amplifiers, releasing modules, etc. The APS Series power supply has four outputs that are field-configurable as notification appliance circuits (NACs) or as auxiliary (AUX) power circuits, and a trouble relay. The NACs are supervised and can either pass or generate Genesis synchronization signals for synchronized notification appliances.  | APS6A available, less power | Same wiring and internals as BPS, more available room for amplifiers and modules | aps10a | NAC
EDGE	Exam DOCX	line 32	A. iO-64 and EST3XB. iO-1000 and EDGEC. EST3X and EST4D. EDGE and EST4
